"filename", "language", "Properties", "Markdown", "JSON", "Python", "JavaScript", "pip requirements", "MS SQL", "JSON with Comments", "vue", "HTML", "JavaScript JSX", "comment", "blank", "total"
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/crud/ambulance/crud_operation_history.py", "Python", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 10, 41
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/crud/case_history.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/crud/chat.py", "Python", 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 13, 16, 150
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/crud/check/check_crud.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/crud/check/check_histories_crud.py", "Python", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 6, 21
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/crud/crud_allergy.py", "Python", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 4, 19
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/crud/crud_department.py", "Python", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 5, 22
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/crud/crud_patient.py", "Python", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 5, 22
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/crud/health_personnel.py", "Python", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 8, 32
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/crud/medical_history.py", "Python", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 9, 6, 37
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/crud/medical_record.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 6, 24
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/crud/medicine/medicine_crud.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/crud/medicine/medicine_histories_crud.py", "Python", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 6, 21
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/db/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/db/base.py", "Python", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 3, 1, 6
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/db/session.py", "Python", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 28, 9, 45
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/main.py", "Python", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 17, 20, 101
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/models/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/models/allergy.py", "Python", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 3, 15
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/models/ambulance.py", "Python", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 6, 24
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/models/basic_check.py", "Python", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 4, 3, 23
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/models/case_history.py", "Python", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 3, 24
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/models/chat.py", "Python", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/models/check/check.py", "Python", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/models/check/check_histories.py", "Python", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/models/check/check_relationship.py", "Python", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/models/department.py", "Python", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 4, 16
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/models/health_personnel.py", "Python", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 4, 20
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/models/medical_history.py", "Python", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/models/medical_record.py", "Python", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 1, 3, 34
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/models/medicine/medicine.py", "Python", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/models/medicine/medicine_histories.py", "Python", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/models/medicine/medicine_relationship.py", "Python", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 4, 19
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/models/message.py", "Python", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/models/operation_history.py", "Python", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 3, 3, 45
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/models/patient.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 3, 22
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/models/users.py", "Python", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/schemas/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/schemas/allergy.py", "Python", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/schemas/ambulance/ambulance.py", "Python", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/schemas/ambulance/basic_check.py", "Python", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 5, 25
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/schemas/ambulance/operation_history.py", "Python", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 7, 57
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/schemas/case_history.py", "Python", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 8, 40
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/schemas/chat.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/schemas/check/check.py", "Python", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/schemas/check/check_histories.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/schemas/check/check_relationship.py", "Python", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/schemas/department.py", "Python", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/schemas/health_personnel.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 6, 25
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/schemas/medical_history.py", "Python", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/schemas/medical_record.py", "Python", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 2, 8, 51
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/schemas/medicine/medicine.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/schemas/medicine/medicine_histories.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/schemas/medicine/medicine_relationship.py", "Python", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
